,coluna_1,coluna_2,coluna_3,coluna_4
0,45,48,16,49
1,87,64,37,85
2,12,80,88,74
3,3,64,27,70
4,93,73,51,76
5,76,32,35,25
6,21,99,25,33
7,16,65,7,6
8,71,39,66,24
9,74,26,46,16
10,64,46,27,31
11,41,4,33,96
12,34,75,30,18
13,53,76,6,11
14,62,37,65,63
15,34,54,85,83
16,81,57,56,99
17,14,5,50,69
18,66,40,68,72
19,51,62,3,55
20,73,67,22,14
21,58,85,37,34
22,87,74,20,89
23,91,89,7,0
24,58,24,3,98
25,81,1,82,2
26,69,84,75,35
27,90,39,76,68
28,41,34,85,22
29,43,60,73,50
30,79,37,71,93
31,24,73,30,13
32,23,77,37,19
33,10,19,47,90
34,6,7,70,82
35,79,81,42,90
36,95,8,24,4
37,44,39,13,19
38,33,64,70,7
39,7,5,72,95
40,78,32,0,17
41,84,80,57,28
42,76,39,38,18
43,22,22,44,5
44,34,47,92,28
45,61,25,28,38
46,83,62,76,81
47,2,48,72,16
48,51,63,97,17
49,50,71,94,61
50,50,35,6,90
51,27,84,41,46
52,1,76,21,65
53,51,74,35,3
54,63,73,21,21
55,61,64,93,86
56,15,73,55,95
57,21,22,96,3
58,37,56,68,96
59,98,33,50,93
60,19,41,87,16
61,7,32,43,30
62,6,17,99,9
63,17,98,53,65
64,80,30,13,89
65,19,92,51,52
66,0,35,47,35
67,40,42,81,55
68,94,4,26,44
69,1,41,68,68
70,70,56,7,77
71,86,67,31,23
72,44,32,84,23
73,65,66,20,3
74,1,69,80,24
75,28,30,28,39
76,68,50,48,48
77,0,95,48,48
78,86,99,72,58
79,80,20,85,30
80,83,93,87,44
81,19,30,96,87
82,1,13,16,21
83,12,96,65,4
84,1,60,36,37
85,6,48,55,13
86,33,3,74,5
87,40,77,79,72
88,66,95,27,70
89,26,71,49,8
90,51,85,68,36
91,26,97,91,56
92,12,76,12,78
93,15,77,62,1
94,58,19,56,54
95,24,30,98,40
96,45,57,87,53
97,5,82,69,67
98,46,65,78,70
99,43,71,9,79
